name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
lonquen/langchain/gpt-4o-mini,186,100,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.682,0.128,0.6748,0.5622,0.0732,0.5741,0.9823
lonquen/langchain/gpt-4o-mini,186,100,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.588,0.1256,0.5837,0.4736,0.0693,0.4693,0.6332
lonquen/langchain/gpt-4o-mini,186,100,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7857,0.0936,0.7811,0.6942,0.0494,0.6951,0.3749
lonquen/langchain/gpt-4o,186,151,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6267,0.1232,0.6286,0.5788,0.0751,0.5891,1.0561
lonquen/langchain/gpt-4o,186,151,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.544,0.1222,0.5337,0.4746,0.0891,0.4577,0.6583
lonquen/langchain/gpt-4o,186,151,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7415,0.1068,0.7454,0.6821,0.0691,0.6882,0.3765
lonquen/langchain/o3-mini,186,107,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.6253,0.122,0.6321,0.514,0.0983,0.4985,1.0037
lonquen/langchain/o3-mini,186,107,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.5481,0.1275,0.5369,0.4597,0.0991,0.4318,0.6006
lonquen/langchain/o3-mini,186,107,sentences,distiluse-base-multilingual-cased-v1,512,64,0.7403,0.1062,0.7392,0.6636,0.0567,0.6619,0.357
lonquen/original/gpt-4o-mini,186,450,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5604,0.1094,0.562,0.5325,0.0835,0.5305,1.3007
lonquen/original/gpt-4o-mini,186,450,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4766,0.113,0.4588,0.4533,0.0865,0.4405,0.893
lonquen/original/gpt-4o-mini,186,450,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6686,0.0987,0.6596,0.6501,0.074,0.6485,0.5763
lonquen/original/gpt-4o,186,488,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5551,0.113,0.5576,0.5312,0.088,0.5322,1.3502
lonquen/original/gpt-4o,186,488,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4851,0.1151,0.4691,0.4635,0.0899,0.4517,0.8937
lonquen/original/gpt-4o,186,488,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6656,0.1032,0.6568,0.6387,0.0785,0.644,0.572
lonquen/original/o3-mini,186,484,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5724,0.1067,0.5704,0.546,0.0803,0.5502,1.2747
lonquen/original/o3-mini,186,484,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4951,0.1123,0.4832,0.4682,0.0803,0.4613,0.894
lonquen/original/o3-mini,186,484,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6755,0.0935,0.6747,0.6587,0.0654,0.6662,0.5762
lonquen/original/gpt-3,186,332,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5814,0.1068,0.5789,0.5507,0.0855,0.5578,1.1844
lonquen/original/gpt-3,186,332,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4845,0.114,0.4605,0.4859,0.099,0.478,0.7971
lonquen/original/gpt-3,186,332,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6889,0.096,0.6906,0.6674,0.0733,0.6675,0.4415
lonquen/original_res/gpt-4o-mini,186,400,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5621,0.1078,0.5703,0.5299,0.0827,0.5301,1.2181
lonquen/original_res/gpt-4o-mini,186,400,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4792,0.115,0.4552,0.4468,0.0852,0.4329,0.8209
lonquen/original_res/gpt-4o-mini,186,400,sentences,distiluse-base-multilingual-cased-v1,512,64,0.674,0.0981,0.673,0.6435,0.0697,0.6429,0.474
lonquen/original_res/gpt-4o,186,430,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5641,0.1102,0.5617,0.537,0.0872,0.5395,1.2571
lonquen/original_res/gpt-4o,186,430,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4908,0.1152,0.4727,0.4585,0.0865,0.4497,0.8247
lonquen/original_res/gpt-4o,186,430,sentences,distiluse-base-multilingual-cased-v1,512,64,0.67,0.1042,0.6614,0.6357,0.0732,0.6427,0.4773
lonquen/original_res/o3-mini,186,443,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5801,0.1066,0.5803,0.5442,0.0799,0.5491,1.2292
lonquen/original_res/o3-mini,186,443,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4986,0.1121,0.4878,0.4692,0.0801,0.4643,0.92
lonquen/original_res/o3-mini,186,443,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6862,0.0939,0.6878,0.6616,0.0646,0.6694,0.5593
lonquen/original_res/gpt-3,186,286,sentences,hiiamsid/sentence_similarity_spanish_es,768,64,0.5816,0.108,0.5762,0.5454,0.0837,0.5494,1.1286
lonquen/original_res/gpt-3,186,286,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,0.4855,0.1122,0.4625,0.4821,0.0958,0.4762,0.7285
lonquen/original_res/gpt-3,186,286,sentences,distiluse-base-multilingual-cased-v1,512,64,0.6894,0.0962,0.6908,0.6578,0.0726,0.6545,0.42
lonquen/langchain/gpt-4o-mini,445,100,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.6689,0.1224,0.675,0.5051,0.0891,0.5331,0.6238
lonquen/langchain/gpt-4o-mini,445,100,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.5464,0.1364,0.5541,0.3788,0.0814,0.3638,0.6227
lonquen/langchain/gpt-4o-mini,445,100,chunks,distiluse-base-multilingual-cased-v1,512,64,0.7659,0.1084,0.7662,0.6203,0.0498,0.6229,0.457
lonquen/langchain/gpt-4o,445,151,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.6227,0.1197,0.6301,0.5152,0.0884,0.5383,0.6711
lonquen/langchain/gpt-4o,445,151,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.504,0.1233,0.5097,0.3663,0.103,0.3417,0.672
lonquen/langchain/gpt-4o,445,151,chunks,distiluse-base-multilingual-cased-v1,512,64,0.7213,0.1134,0.7201,0.5988,0.084,0.6064,0.4663
lonquen/langchain/o3-mini,445,107,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.6341,0.1158,0.6441,0.4664,0.1278,0.4715,0.5985
lonquen/langchain/o3-mini,445,107,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.5162,0.1296,0.5105,0.3793,0.1044,0.358,0.6272
lonquen/langchain/o3-mini,445,107,chunks,distiluse-base-multilingual-cased-v1,512,64,0.7209,0.1092,0.7222,0.6107,0.0639,0.6133,0.456
lonquen/original/gpt-4o-mini,445,450,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5588,0.1058,0.5611,0.4993,0.0883,0.5096,0.8447
lonquen/original/gpt-4o-mini,445,450,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4477,0.1124,0.4337,0.3932,0.0884,0.3829,0.8883
lonquen/original/gpt-4o-mini,445,450,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6552,0.1139,0.6528,0.5869,0.0833,0.5858,0.5697
lonquen/original/gpt-4o,445,488,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5503,0.1086,0.5564,0.4986,0.0879,0.5072,0.8505
lonquen/original/gpt-4o,445,488,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4568,0.1122,0.4474,0.403,0.0826,0.3915,0.9421
lonquen/original/gpt-4o,445,488,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6515,0.1098,0.654,0.5802,0.0797,0.5788,0.5899
lonquen/original/o3-mini,445,484,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5677,0.105,0.5746,0.5097,0.095,0.5226,0.8919
lonquen/original/o3-mini,445,484,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4651,0.1137,0.4595,0.4051,0.0828,0.3983,0.944
lonquen/original/o3-mini,445,484,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6583,0.1054,0.6561,0.5953,0.0787,0.599,0.6228
lonquen/original/gpt-3,445,332,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5709,0.1034,0.5714,0.5141,0.0843,0.5169,0.7596
lonquen/original/gpt-3,445,332,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4526,0.1075,0.4375,0.4184,0.0924,0.4046,0.7969
lonquen/original/gpt-3,445,332,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6692,0.1025,0.6687,0.6116,0.0817,0.6095,0.5356
lonquen/original_res/gpt-4o-mini,445,400,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5595,0.1055,0.5619,0.4953,0.0898,0.5097,0.8343
lonquen/original_res/gpt-4o-mini,445,400,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4503,0.1144,0.4361,0.385,0.0857,0.373,0.88
lonquen/original_res/gpt-4o-mini,445,400,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6596,0.1132,0.6586,0.579,0.0804,0.5794,0.5829
lonquen/original_res/gpt-4o,445,430,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5571,0.1096,0.5608,0.4998,0.0867,0.5107,0.8256
lonquen/original_res/gpt-4o,445,430,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4607,0.1129,0.4566,0.3961,0.0785,0.3838,0.8851
lonquen/original_res/gpt-4o,445,430,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6565,0.1096,0.6574,0.5765,0.0749,0.5768,0.5723
lonquen/original_res/o3-mini,445,443,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5749,0.1048,0.581,0.507,0.0959,0.5226,0.819
lonquen/original_res/o3-mini,445,443,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.468,0.1159,0.4627,0.4038,0.084,0.3962,0.913
lonquen/original_res/o3-mini,445,443,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6672,0.1066,0.6693,0.596,0.0793,0.6024,0.5759
lonquen/original_res/gpt-3,445,286,chunks,hiiamsid/sentence_similarity_spanish_es,768,64,0.5728,0.1038,0.5755,0.5108,0.0846,0.5123,0.7411
lonquen/original_res/gpt-3,445,286,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,0.4554,0.1073,0.4375,0.4177,0.0916,0.4074,0.7941
lonquen/original_res/gpt-3,445,286,chunks,distiluse-base-multilingual-cased-v1,512,64,0.6682,0.1026,0.6687,0.6028,0.0797,0.5991,0.528
